piece,condition,axis,bin_beats,cap,config,k,n,beta0_p2,beta0_p3,beta0_p5,beta0_p7,giant_p2,giant_p3,giant_p5,giant_p7,Delta23,Delta25,Delta27,DeltaG23,DeltaG25,DeltaG27
bwv1049_mov1,beats_bin12_cap500,beats,12,500,A,8,2,1,1,1,3,1.0,1.0,1.0,0.336,0,0,-2,0.0,0.0,0.664
bwv1049_mov1,beats_bin12_cap500,beats,12,500,A,8,3,1,1,3,3,1.0,1.0,0.338,0.336,0,-2,-2,0.0,0.662,0.664
bwv1049_mov1,beats_bin12_cap500,beats,12,500,A,10,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin12_cap500,beats,12,500,A,10,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin12_cap500,beats,12,500,A,10,3,1,1,3,3,1.0,1.0,0.338,0.336,0,-2,-2,0.0,0.662,0.664
bwv1049_mov1,beats_bin12_cap500,beats,12,500,A,12,1,1,1,1,,1.0,1.0,1.0,,0,0,,0.0,0.0,
bwv1049_mov1,beats_bin12_cap500,beats,12,500,A,12,2,1,1,1,,1.0,1.0,1.0,,0,0,,0.0,0.0,
bwv1049_mov1,beats_bin12_cap500,beats,12,500,A,12,3,1,1,3,,1.0,1.0,0.338,,0,-2,,0.0,0.662,
bwv1049_mov1,beats_bin12_cap500,beats,12,500,A,12,4,1,3,3,,1.0,0.334,0.336,,-2,-2,,0.666,0.664,
bwv1049_mov1,beats_bin16_cap300,beats,16,300,A,8,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin16_cap300,beats,16,300,A,8,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin16_cap300,beats,16,300,A,8,3,1,1,2,2,1.0,1.0,0.503333,0.503333,0,-1,-1,0.0,0.496667,0.496667
bwv1049_mov1,beats_bin16_cap300,beats,16,300,A,10,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin16_cap300,beats,16,300,A,10,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin16_cap300,beats,16,300,A,10,3,1,1,2,2,1.0,1.0,0.503333,0.503333,0,-1,-1,0.0,0.496667,0.496667
bwv1049_mov1,beats_bin16_cap300,beats,16,300,A,12,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin16_cap300,beats,16,300,A,12,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin16_cap300,beats,16,300,A,12,3,1,1,1,2,1.0,1.0,1.0,0.503333,0,0,-1,0.0,0.0,0.496667
bwv1049_mov1,beats_bin16_cap300,beats,16,300,B,8,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin16_cap300,beats,16,300,B,8,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin16_cap300,beats,16,300,B,8,3,1,1,2,2,1.0,1.0,0.503333,0.503333,0,-1,-1,0.0,0.496667,0.496667
bwv1049_mov1,beats_bin16_cap300,beats,16,300,B,10,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin16_cap300,beats,16,300,B,10,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin16_cap300,beats,16,300,B,10,3,1,1,2,2,1.0,1.0,0.503333,0.503333,0,-1,-1,0.0,0.496667,0.496667
bwv1049_mov1,beats_bin16_cap300,beats,16,300,B,12,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin16_cap300,beats,16,300,B,12,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin16_cap300,beats,16,300,B,12,3,1,1,2,2,1.0,1.0,0.503333,0.503333,0,-1,-1,0.0,0.496667,0.496667
bwv1049_mov1,beats_bin16_cap300,beats,16,300,C,8,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin16_cap300,beats,16,300,C,8,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin16_cap300,beats,16,300,C,8,3,1,1,2,2,1.0,1.0,0.503333,0.503333,0,-1,-1,0.0,0.496667,0.496667
bwv1049_mov1,beats_bin16_cap300,beats,16,300,C,10,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin16_cap300,beats,16,300,C,10,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin16_cap300,beats,16,300,C,10,3,1,1,2,2,1.0,1.0,0.503333,0.503333,0,-1,-1,0.0,0.496667,0.496667
bwv1049_mov1,beats_bin16_cap300,beats,16,300,C,12,1,1,1,,,1.0,1.0,,,0,,,0.0,,
bwv1049_mov1,beats_bin16_cap300,beats,16,300,C,12,2,1,1,,,1.0,1.0,,,0,,,0.0,,
bwv1049_mov1,beats_bin16_cap300,beats,16,300,C,12,3,1,1,,,1.0,1.0,,,0,,,0.0,,
bwv1049_mov1,beats_bin16_cap300,beats,16,300,C,12,4,1,1,,,1.0,1.0,,,0,,,0.0,,
bwv1049_mov1,beats_bin16_cap300,beats,16,300,C,12,5,1,2,,,1.0,0.51,,,-1,,,0.49,,
bwv1049_mov1,beats_bin16_cap500,beats,16,500,A,8,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin16_cap500,beats,16,500,A,8,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin16_cap500,beats,16,500,A,8,3,1,1,2,2,1.0,1.0,0.502,0.53,0,-1,-1,0.0,0.498,0.47
bwv1049_mov1,beats_bin16_cap500,beats,16,500,A,10,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin16_cap500,beats,16,500,A,10,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin16_cap500,beats,16,500,A,10,3,1,1,2,2,1.0,1.0,0.502,0.53,0,-1,-1,0.0,0.498,0.47
bwv1049_mov1,beats_bin16_cap500,beats,16,500,A,12,1,1,1,1,,1.0,1.0,1.0,,0,0,,0.0,0.0,
bwv1049_mov1,beats_bin16_cap500,beats,16,500,A,12,2,1,1,1,,1.0,1.0,1.0,,0,0,,0.0,0.0,
bwv1049_mov1,beats_bin16_cap500,beats,16,500,A,12,3,1,1,2,,1.0,1.0,0.502,,0,-1,,0.0,0.498,
bwv1049_mov1,beats_bin16_cap500,beats,16,500,A,12,4,1,1,2,,1.0,1.0,0.502,,0,-1,,0.0,0.498,
bwv1049_mov1,seconds_cap300,seconds,,300,A,8,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,A,8,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,A,8,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,A,10,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,A,10,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,A,10,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,A,12,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,A,12,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,A,12,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,B,8,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,B,8,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,B,8,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,B,10,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,B,10,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,B,10,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,B,12,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,B,12,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,B,12,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,C,8,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,C,8,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,C,8,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,C,10,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,C,10,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,C,10,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,C,12,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,C,12,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap300,seconds,,300,C,12,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap500,seconds,,500,A,8,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap500,seconds,,500,A,8,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap500,seconds,,500,A,8,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap500,seconds,,500,A,10,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap500,seconds,,500,A,10,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap500,seconds,,500,A,10,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,seconds_cap500,seconds,,500,A,12,1,1,1,1,,1.0,1.0,1.0,,0,0,,0.0,0.0,
bwv1049_mov1,seconds_cap500,seconds,,500,A,12,2,1,1,1,,1.0,1.0,1.0,,0,0,,0.0,0.0,
bwv1049_mov1,seconds_cap500,seconds,,500,A,12,3,1,1,1,,1.0,1.0,1.0,,0,0,,0.0,0.0,
bwv1049_mov1,seconds_cap500,seconds,,500,A,12,4,1,1,1,,1.0,1.0,1.0,,0,0,,0.0,0.0,
bwv1049_mov2,seconds_cap300,seconds,,300,A,8,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap300,seconds,,300,A,8,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap300,seconds,,300,A,8,3,1,1,1,4,1.0,1.0,1.0,0.87,0,0,-3,0.0,0.0,0.13
bwv1049_mov2,seconds_cap300,seconds,,300,A,10,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap300,seconds,,300,A,10,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap300,seconds,,300,A,10,3,1,1,1,3,1.0,1.0,1.0,0.913333,0,0,-2,0.0,0.0,0.086667
bwv1049_mov2,seconds_cap300,seconds,,300,A,12,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap300,seconds,,300,A,12,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap300,seconds,,300,A,12,3,1,1,1,2,1.0,1.0,1.0,0.956667,0,0,-1,0.0,0.0,0.043333
bwv1049_mov2,seconds_cap300,seconds,,300,B,8,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap300,seconds,,300,B,8,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap300,seconds,,300,B,8,3,1,1,1,2,1.0,1.0,1.0,0.956667,0,0,-1,0.0,0.0,0.043333
bwv1049_mov2,seconds_cap300,seconds,,300,B,10,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap300,seconds,,300,B,10,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap300,seconds,,300,B,10,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap300,seconds,,300,B,12,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap300,seconds,,300,B,12,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap300,seconds,,300,B,12,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap300,seconds,,300,C,8,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap300,seconds,,300,C,8,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap300,seconds,,300,C,8,3,1,1,1,2,1.0,1.0,1.0,0.956667,0,0,-1,0.0,0.0,0.043333
bwv1049_mov2,seconds_cap300,seconds,,300,C,10,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap300,seconds,,300,C,10,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap300,seconds,,300,C,10,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap300,seconds,,300,C,12,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap300,seconds,,300,C,12,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap300,seconds,,300,C,12,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap500,seconds,,500,A,8,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap500,seconds,,500,A,8,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap500,seconds,,500,A,8,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap500,seconds,,500,A,10,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap500,seconds,,500,A,10,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap500,seconds,,500,A,10,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap500,seconds,,500,A,12,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap500,seconds,,500,A,12,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap500,seconds,,500,A,12,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap500,seconds,,500,B,8,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap500,seconds,,500,B,8,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov2,seconds_cap500,seconds,,500,B,8,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,A,8,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,A,8,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,A,8,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,A,10,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,A,10,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,A,10,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,A,12,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,A,12,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,A,12,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,B,8,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,B,8,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,B,8,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,B,10,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,B,10,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,B,10,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,B,12,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,B,12,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,B,12,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,C,8,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,C,8,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,C,8,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,C,10,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,C,10,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,C,10,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,C,12,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,C,12,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap300,seconds,,300,C,12,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap500,seconds,,500,A,8,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap500,seconds,,500,A,8,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap500,seconds,,500,A,8,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap500,seconds,,500,A,10,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap500,seconds,,500,A,10,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap500,seconds,,500,A,10,3,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov3,seconds_cap500,seconds,,500,A,12,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
